"prolific_id","subj","item_1","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_2","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_3","item_31","item_32","item_33","item_34","item_35","item_4","item_5","item_6","item_7","item_8","item_9","item_10"
"5e6b5f9dde134510cee00ca7",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bf735ba2e42ef00019f6f73",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5633a2b2dc62e50005cb3c8f",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e78fa7426caca053d1b7cc4",38,"3","3","1","3","2","3","1","1","1","3","1","3","3","3","3","1","2","2","3","3","3","2","2","2","2","2","1","2","3","1","1","0","3","3","3"
"5ef48d9e540ce904ddba1f4d",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e9f86d557028a133d45b926",40,"2","2","2","2","2","1","1","2","0","1","1","3","2","1","2","2","1","2","1","3","0","3","2","2","2","1","0","1","0","0","0","1","3","3","3"
"5ef1400f328bb8133db8c55a",41,"2","3","2","1","1","3","2","2","2","3","1","2","2","1","3","2","2","1","2","2","3","2","1","2","1","3","3","1","1","2","1","1","3","2","3"
"5e82202ec0d88b08cd962690",42,"3","3","3","0","0","3","3","3","3","3","3","3","3","0","3","3","3","3","3","3","3","3","3","3","0","3","3","0","3","3","3","0","3","3","3"
"5e28a425cc52e1065c924108",43,"1","3","2","3","1","1","1","1","0","1","2","3","2","3","3","2","2","1","1","3","3","1","2","2","1","2","1","2","1","2","1","0","3","2","1"
"5d0c2a709d49670018383c7e",44,"0","3","1","1","1","0","3","1","1","1","0","2","1","0","3","1","1","2","1","2","1","1","0","2","1","1","1","1","0","0","1","2","3","3","2"
"5c49c880f80d580001edf7d4",45,"1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","2"
